year,km,price,equal,bon,tres
2020,78253,21820,0,1,0
2020,23700,25990,0,1,0
2020,41780,23890,0,1,0
2020,23400,23980,0,1,0
2020,38745,24490,1,0,0
2020,20000,24490,0,1,0
2020,24000,24500,0,1,0
2020,34280,24790,0,1,0
2020,22700,24890,0,1,0
2020,13321,24980,0,1,0
2020,28760,24990,0,1,0
2020,31500,24990,0,1,0
2020,28000,25300,0,1,0
2020,48226,25650,1,0,0
2020,9760,25900,0,1,0
2020,23700,25900,0,1,0
2020,20130,26990,1,0,0
2020,41000,25990,1,0,0
2020,13745,25990,0,1,0
2020,37350,26490,0,1,0
2020,19180,26490,1,0,0
2020,37000,26980,1,0,0
2020,20134,26990,1,0,0
2020,33249,27187,1,0,0
2020,28294,27490,1,0,0
2020,16900,28790,1,0,0
2020,16000,29490,1,0,0
2021,41760,24500,0,1,0
2021,97000,21990,1,0,0
2021,50160,23990,0,1,0
2021,26500,23990,0,1,0
2021,41760,24500,0,1,0
2021,28680,24960,0,1,0
2021,26870,24960,0,1,0
2021,39350,24990,0,1,0
2021,43300,24990,1,0,0
2021,31700,24990,0,1,0
2021,41960,25790,1,0,0
2021,23200,25900,0,1,0
2021,36000,25980,1,0,0
2021,23900,25990,0,1,0
2021,19500,25990,0,1,0
2021,21300,25990,0,1,0
2021,20750,25990,0,1,0
2021,31700,24990,0,1,0
2021,16500,25990,0,1,0
2021,35200,25990,0,1,0
2021,4000,25990,0,1,0
2021,18400,25990,0,1,0
2021,22300,25990,0,1,0
2021,32500,25990,1,0,0
2021,18670,25990,0,1,0
2021,20700,26590,1,0,0
2021,30500,26590,1,0,0
2021,37800,26690,1,0,0
2021,10070,26900,0,1,0
2021,13400,26990,1,0,0
2021,16200,26990,1,0,0
2021,2254,26990,0,1,0
2021,3158,27250,0,1,0
2021,47100,27290,1,0,0
2021,22900,27490,0,1,0
2021,14378,27590,0,1,0
2021,27600,27690,0,1,0
2021,27190,27790,1,0,0
2021,15225,27890,1,0,0
2021,18300,27990,1,0,0
2021,16900,27990,1,0,0
2021,10957,28290,1,0,0
2021,5800,28490,0,1,0
2021,40450,28590,1,0,0
2021,15729,28780,1,0,0
2021,16751,28900,1,0,0
2021,8990,28980,1,0,0
2021,15366,28980,0,1,0
2021,12943,28990,0,1,0
2021,25000,28990,1,0,0
2021,41760,24500,0,1,0
2021,28270,29990,1,0,0
2021,15200,29990,0,1,0
2021,18985,29990,1,0,0
2021,5030,29990,1,0,0
2021,13565,29990,1,0,0
2021,8876,29990,0,1,0
2021,9766,33840,1,0,0